Identifier,Author,Title,Year,REGION,State
Nair2016,"Nair, Dina; Navneethapandian, Pooranaganga D.; Tripathy, Jaya Prasad; Harries, Anthony D.; Klinton, Joel S.; Watson, Basilea; Sivaramakrishnan, Gomathi N.; Reddy, Devarajulu S.; Murali, Lakshmi; Natrajan, Mohan; Swaminathan, Soumya","Impact of rapid molecular diagnostic tests on time to treatment initiation and outcomes in patients with multidrug-resistant TB, Tamil Nadu, India",2016,Tamil Nadu,Tamil Nadu
Paramasivam2017,"Paramasivam, Selvam; Thomas, Bina; Chandran, Priya; Thayyil, Jayakrishnan; George, Biju; Sivakumar, C. P.",Diagnostic delay and associated factors among patients with pulmonary tuberculosis in Kerala,2017,Kerala,Kerala
Paul2012,"Paul, Durba; Busireddy, Arundhathi; Nagaraja, Sharath Burugina; Satyanarayana, Srinath; Dewan, Puneet Kumar; Nair, Sreenivas Achutan; Sarkar, Silajit; Ahmed, Quazi Toufique; Sarkar, Shakuntala; Shamrao, Sreenivas Rao Motta; Harries, Anthony David; Oeltmann, John Ethan",Factors Associated with Delays in Treatment Initiation after Tuberculosis Diagnosis in Two Districts of India,2012,West Bengal,West Bengal
Paul2012,"Paul, Durba; Busireddy, Arundhathi; Nagaraja, Sharath Burugina; Satyanarayana, Srinath; Dewan, Puneet Kumar; Nair, Sreenivas Achutan; Sarkar, Silajit; Ahmed, Quazi Toufique; Sarkar, Shakuntala; Shamrao, Sreenivas Rao Motta; Harries, Anthony David; Oeltmann, John Ethan",Factors Associated with Delays in Treatment Initiation after Tuberculosis Diagnosis in Two Districts of India,2012,Andrhra Paradesh,Andrhra Paradesh
Potty2021,"Potty, Rajaram Subramanian; Kumarasamy, Karthikeyan; Adepu, Rajesham; Reddy, Ramesh Chandra; Singarajipura, Anil; Siddappa, Poornima Bathi; Sreenivasa, Prarthana B.; Thalinja, Raghavendra; Lakkappa, Mohan Harnahalli; Swamickan, Reuben; Shah, Amar; Panibatla, Vikas; Dasari, Ramesh; Washington, Reynold",Community health workers augment the cascade of TB detection to care in urban slums of two metro cities in India,2021,Telangana,Telangana
Potty2021,"Potty, Rajaram Subramanian; Kumarasamy, Karthikeyan; Adepu, Rajesham; Reddy, Ramesh Chandra; Singarajipura, Anil; Siddappa, Poornima Bathi; Sreenivasa, Prarthana B.; Thalinja, Raghavendra; Lakkappa, Mohan Harnahalli; Swamickan, Reuben; Shah, Amar; Panibatla, Vikas; Dasari, Ramesh; Washington, Reynold",Community health workers augment the cascade of TB detection to care in urban slums of two metro cities in India,2021,Karnataka,Karnataka
Purohit2019,"Purohit, Manju Raj; Purohit, Rajvi; Mustafa, Tehmina",Patient health seeking and diagnostic delay in extrapulmonary tuberculosis: A hospital based study from Central India,2019,Madhya Pradesh,Madhya Pradesh
Rathi2019,"Rathi, Priya; Shringarpure, Kalpita; Unnikrishnan, Bhaskaran; Pandey, Abhinav; Nair, Abhirami",Patient treatment pathways of multidrug-resistant tuberculosis cases in coastal South India: Road to a drug resistant tuberculosis center,2019,Karnataka,Karnataka
Satyanarayana2012,"Satyanarayana, S.; Nair, S. A.; Chadha, S. S.; Sharma, G.; Yadav, S.; Mohanty, S.; Kamineni, V.; Wilson, N. C.; Harries, A. D.",Health-care seeking among people with cough of 2 weeks or more in India. Is passive TB case finding sufficient?,2012,National,India
Shah2020,"Shah, Sanchi; Shah, Shimoni; Rangan, Sheela; Rai, Sonukumar; Lobo, Eunice; Kamble, Swaran; Dholakia, Yatin; Mistry, Nerges","Effect of public-private interface agency in Patna and Mumbai, India: Does it alter durations and delays in care seeking for drug-sensitive pulmonary tuberculosis?",2020,"Patna, Mumbai",Mumbai
Shriraam2020,"Shriraam, Vanishree; Srihari, R.; Gayathri, T.; Murali, Lakshmi",Active case finding for Tuberculosis among migrant brick kiln workers in South India,2020,Chennai,Tamil Nadu
Singh2020,"Singh, Mahendra; Sagili, Karuna D.; Tripathy, Jaya P.; Kishore, Surekha; Bahurupi, Yogesh A.; Kumar, Ajay; Kala, Vagish; Yadav, Vikas; Murmu, Shikha",Are treatment outcomes of patients with tuberculosis detected by active case finding different from those detected by passive case finding?,2020,Uttarakhand,Uttarakhand
Tamhane2012,"Tamhane, Ashutosh; Ambe, Girish; Vermund, Sten H.; Kohler, Connie L.; Karande, Alka; Sathiakumar, Nalini","Pulmonary tuberculosis in mumbai, India: factors responsible for patient and treatment delays",2012,Mumbai,Mumbai
Thapa2022,"Thapa, Poshan; Hall, John J.; Jayasuriya, Rohan; Mukherjee, Partha Sarathi; Beek, Kristen; Das, Dipesh Kr; Mandal, Tushar; Narasimhan, Padmanesan",What are the tuberculosis care practices of informal healthcare providers? A cross-sectional study from Eastern India,2022,West Bengal,West Bengal
Thomas2018,"Thomas, Beena E.; Subbaraman, Ramnath; Sellappan, Senthil; Suresh, Chandra; Lavanya, J.; Lincy, Savari; Raja, Agnes Lawrence; Javeed, B.; Kokila, S.; Arumugam, S.; Swaminathan, Soumya; Mayer, Kenneth H.","Pretreatment loss to follow-up of tuberculosis patients in Chennai, India: a cohort study with implications for health systems strengthening",2018,Chennai,Tamil Nadu
Thomas2021,"Thomas, Beena E.; Thiruvengadam, Kannan; Raghavi, S.; Rani, Sudha; Vetrivel, S.; Gangadhar Rao, Vikas; Yadav, Rajiv; Bhat, J.; Paluru, Vijayachari; Jacob Purthy, Anil; Hussain, Tahziba; Indira Krishna, Anil Kumar; Joseph, Alex; Kumar Bansal, Avi; Anand, Praveen; Das, Pradeep; R. John, K.; Devi, Rekha K.; Sunish, P.; Moral, Rony; Azhagendran, S.; Chandrasekaran, V.; Toteja, G. S.; Das, Madhuchhanda; Khan, A. M.; Kaur, Harpreet",Understanding health care-seeking behaviour of the tribal population in India among those with presumptive TB symptoms,2021,National,India
Thomas2022,"Thomas, Nithin; Rajalingam, Ragulan; Vallabhaneni, Viswambhar; Varghese, Jereen",A Cross-Sectional Descriptive Study to Ascertain Factors Influencing Delay in Diagnosis among Newly Diagnosed Pulmonary Tuberculosis Patients,2022,Kanchipuram,Tamil Nadu
Tripathy2013,"Tripathy, J. P.; Srinath, S.; Naidoo, P.; Ananthakrishnan, R.; Bhaskar, R.",Is physical access an impediment to tuberculosis diagnosis and treatment? A study from a rural district in North India,2013,Punjab,Punjab
Valvi2019,"Valvi, C.; Chandanwale, A.; Khadse, S.; Kulkarni, R.; Kadam, D.; Kinikar, A.; Joshi, S.; Lokhande, R.; Pardeshi, G.; Garg, P.; Gupte, N.; Jain, D.; Suryavanshi, N.; Golub, J. E.; Shankar, A.; Gupta, A.; Dhumal, G.; Deluca, A.; Bollinger, R. C.",Delays and barriers to early treatment initiation for childhood tuberculosis in India,2019,Pune,Maharashtra
VanNess2017,"Van Ness, Sarah E.; Chandra, Ankit; Sarkar, Sonali; Pleskunas, Jane; Ellner, Jerrold J.; Roy, Gautam; Lakshminarayanan, Subitha; Sahu, Swaroop; Horsburgh Jr., C. Robert; Jenkins, Helen E.; Hochberg, Natasha S.",Predictors of delayed care seeking for tuberculosis in southern India: an observational study,2017,Puducherry,Tamil Nadu
Veesa2018,"Veesa, Karun Sandeep; John, Kamalabhai Russell; Moonan, Patrick K.; Kaliappan, Saravanakumar Puthupalayam; Manjunath, Krishna; Sagili, Karuna D.; Ravichandra, Chinnappareddy; Menon, Pradeep Aravindan; Dolla, Chandrakumar; Luke, Nancy; Munshi, Kaivan; George, Kuryan; Minz, Shantidani","Diagnostic pathways and direct medical costs incurred by new adult pulmonary tuberculosis patients prior to anti-tuberculosis treatment - Tamil Nadu, India",2018,Tamil Nadu,Tamil Nadu
